id,descripcion,train_rmse,val_rmse,val_std,gap,gap_ratio,epocas,n_features,vs. GradientBoosting
it38,"mejor config, entrenamiento largo",16972.9,30282.1,2951.9,13309.2,0.784,81.9,217,-1595.0
it35,scheduler cosine,20589.8,31081.9,2621.2,10492.2,0.51,38.7,217,-796.0
it23,sin agrupar categorías raras,21205.8,31195.0,2547.2,9989.1,0.471,43.3,217,-682.0
it36,activación gelu,20520.6,31392.8,2653.7,10872.2,0.53,28.9,217,-485.0
it37,activación silu,19373.3,31593.3,3014.5,12220.0,0.631,37.6,217,-284.0
it32,batch_size=128,22079.6,31689.5,2313.7,9609.9,0.435,42.0,217,-188.0
it34,lr=0.003,20362.9,31714.3,4498.8,11351.4,0.557,30.6,217,-163.0
it20,weight_decay=0.01,21548.2,31766.3,3545.8,10218.1,0.474,34.3,202,-111.0
it25,agrupación de raras más agresiva,24187.9,31778.8,3394.1,7590.9,0.314,31.5,168,-99.0
it15,dropout=0.35,21334.0,31827.0,3480.8,10493.0,0.492,37.4,202,-50.0
it18,weight_decay=1e-05,21387.6,31905.4,3285.1,10517.8,0.492,35.3,202,28.0
it27,sin Partial de >3000 sqft,19655.2,31947.6,2574.7,12292.4,0.625,38.6,217,70.0
it28,sin influyentes ni Partial grandes,19655.2,31947.6,2574.7,12292.4,0.625,38.6,217,70.0
it19,weight_decay=0.001,22196.0,31975.0,3370.8,9779.0,0.441,33.2,202,98.0
it26,sin puntos influyentes,20666.6,32073.0,2718.1,11406.4,0.552,25.3,217,196.0
it10,"hidden=(128, 64)",18028.4,32095.9,3371.8,14067.5,0.78,24.5,202,218.0
it29,sin el 0.5 % más caro,18325.9,32127.3,3410.1,13801.4,0.753,34.7,217,250.0
it14,dropout=0.1,13544.9,32191.8,3601.3,18646.9,1.377,37.8,202,314.0
it12,"hidden=(256, 128, 64)",17189.8,32193.8,3512.7,15004.0,0.873,25.9,202,316.0
it08,"hidden=(64,)",17196.3,32349.4,5086.7,15153.1,0.881,46.2,202,472.0
it09,"hidden=(128,)",13649.3,32351.0,5709.0,18701.7,1.37,52.5,202,474.0
it13,"hidden=(128, 64, 32)",19049.0,32378.1,4703.2,13329.1,0.7,37.3,202,501.0
it30,pérdida Huber,27875.0,32470.8,1647.2,4595.8,0.165,19.7,217,593.0
it22,sin log1p a sesgadas,21334.2,32514.4,4701.9,11180.2,0.524,33.5,202,637.0
it11,"hidden=(512, 256)",15544.5,32845.9,3127.3,17301.4,1.113,34.4,202,968.0
it05,sin log1p en el target,13457.9,33225.2,2946.9,19767.3,1.469,38.1,202,1348.0
it04,sin weight decay,15343.2,33569.2,4214.7,18225.9,1.188,35.7,202,1692.0
it01,REFERENCIA: bn + dropout .2 + wd 1e-4,15315.5,33623.8,4124.7,18308.3,1.195,35.5,202,1746.0
it21,sin features derivadas,20672.6,34052.4,2220.3,13379.8,0.647,44.9,191,2175.0
it00,MLP mínimo sin regularizar,22738.2,34563.5,649.1,11825.4,0.52,12.7,232,2686.0
it16,dropout=0.5,25362.5,34576.9,1196.4,9214.4,0.363,32.5,202,2699.0
it31,batch_size=32,19619.8,34578.0,5925.4,14958.2,0.762,30.9,217,2701.0
it33,lr=0.0003,24025.4,34653.3,2504.4,10627.9,0.442,51.9,217,2776.0
it03,sin dropout,16460.3,35249.2,4373.6,18788.9,1.141,19.7,202,3372.0
it17,dropout=0.65,26762.5,35288.5,987.9,8525.9,0.319,45.2,202,3411.0
it24,conservando cuasi-constantes,26261.9,35950.0,1552.8,9688.1,0.369,20.3,217,4073.0
it07,preprocesamiento mínimo,18322.0,36954.3,1441.8,18632.4,1.017,28.7,232,5077.0
it02,sin batchnorm,15637.1,37229.7,7613.0,21592.6,1.381,22.7,202,5352.0
it06,sin ninguna regularización,16007.1,40432.7,10116.7,24425.6,1.526,11.1,202,8555.0
